IN_LET,OUT_LET
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.1
30.0,28.0
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,27.9
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
30.0,28.0
